,round,player_name,team_name,opponent_team_name,was_home,total_points
13,14,Erdal Rakip,Malmö FF,Halmstads BK,False,3
14,15,Erdal Rakip,Malmö FF,IFK Göteborg,True,3
15,16,Erdal Rakip,Malmö FF,Degerfors IF,True,3
0,1,Adi Nalic,Malmö FF,Hammarby,True,1
1,2,Adi Nalic,Malmö FF,BK Häcken,False,1
2,3,Adi Nalic,Malmö FF,Östersunds FK,True,4
3,4,Adi Nalic,Malmö FF,Djurgården,False,6
4,5,Adi Nalic,Malmö FF,Varbergs BoIS,True,4
5,6,Adi Nalic,Malmö FF,AIK,False,1
6,7,Adi Nalic,Malmö FF,Kalmar FF,True,1
7,7,Adi Nalic,Malmö FF,IF Elfsborg,True,1
8,8,Adi Nalic,Malmö FF,Örebro SK,False,8
9,9,Adi Nalic,Malmö FF,IFK Norrköping,False,2
10,10,Adi Nalic,Malmö FF,IK Sirius,True,0
11,11,Adi Nalic,Malmö FF,Degerfors IF,False,13
12,12,Adi Nalic,Malmö FF,Mjällby AIF,False,7
13,14,Adi Nalic,Malmö FF,Halmstads BK,False,2
14,15,Adi Nalic,Malmö FF,IFK Göteborg,True,0
15,16,Adi Nalic,Malmö FF,Degerfors IF,True,3
0,1,Pavle Vagic,Malmö FF,Hammarby,True,0
1,2,Pavle Vagic,Malmö FF,BK Häcken,False,0
2,3,Pavle Vagic,Malmö FF,Östersunds FK,True,0
3,4,Pavle Vagic,Malmö FF,Djurgården,False,0
4,5,Pavle Vagic,Malmö FF,Varbergs BoIS,True,1
5,6,Pavle Vagic,Malmö FF,AIK,False,2
6,7,Pavle Vagic,Malmö FF,Kalmar FF,True,2
7,7,Pavle Vagic,Malmö FF,IF Elfsborg,True,2
8,8,Pavle Vagic,Malmö FF,Örebro SK,False,6
9,9,Pavle Vagic,Malmö FF,IFK Norrköping,False,1
10,10,Pavle Vagic,Malmö FF,IK Sirius,True,0
11,11,Pavle Vagic,Malmö FF,Degerfors IF,False,0
12,12,Pavle Vagic,Malmö FF,Mjällby AIF,False,1
13,14,Pavle Vagic,Malmö FF,Halmstads BK,False,0
14,15,Pavle Vagic,Malmö FF,IFK Göteborg,True,0
15,16,Pavle Vagic,Malmö FF,Degerfors IF,True,0
0,1,Mubaarak Mohamud Nuh,Malmö FF,Hammarby,True,0
1,2,Mubaarak Mohamud Nuh,Malmö FF,BK Häcken,False,0
2,3,Mubaarak Mohamud Nuh,Malmö FF,Östersunds FK,True,0
3,4,Mubaarak Mohamud Nuh,Malmö FF,Djurgården,False,0
4,5,Mubaarak Mohamud Nuh,Malmö FF,Varbergs BoIS,True,0
5,6,Mubaarak Mohamud Nuh,Malmö FF,AIK,False,0
6,7,Mubaarak Mohamud Nuh,Malmö FF,Kalmar FF,True,0
7,7,Mubaarak Mohamud Nuh,Malmö FF,IF Elfsborg,True,0
8,8,Mubaarak Mohamud Nuh,Malmö FF,Örebro SK,False,0
9,9,Mubaarak Mohamud Nuh,Malmö FF,IFK Norrköping,False,0
10,10,Mubaarak Mohamud Nuh,Malmö FF,IK Sirius,True,0
11,11,Mubaarak Mohamud Nuh,Malmö FF,Degerfors IF,False,0
12,12,Mubaarak Mohamud Nuh,Malmö FF,Mjällby AIF,False,0
13,14,Mubaarak Mohamud Nuh,Malmö FF,Halmstads BK,False,0
